City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Kargasok,RU,2021-11-22 21:26:14,59.0556,80.8572,27.84,89,100,18.59
127,Airai,TL,2021-11-22 21:26:15,-8.9266,125.4092,61.23,89,88,1.5
128,Codrington,AU,2021-11-22 21:26:15,-38.2667,141.9667,64.35,59,100,8.39
129,Wanning,CN,2021-11-22 21:26:16,18.8003,110.3967,68.05,85,98,14.74
130,Gat,IL,2021-11-22 21:18:10,31.61,34.7642,60.82,59,0,3.65
131,Bubaque,GW,2021-11-22 21:26:16,11.2833,-15.8333,82.83,78,14,12.86
132,Bucerias,MX,2021-11-22 21:26:17,20.75,-105.3333,84.97,65,40,8.05
133,Kudahuvadhoo,MV,2021-11-22 21:18:15,2.6708,72.8944,81.64,77,100,19.19
134,Kambove,CD,2021-11-22 21:26:17,-10.8764,26.5969,62.8,95,100,2.77
135,Kangly,RU,2021-11-22 21:26:18,44.2544,43.0308,30.25,93,0,4.47
136,Kodiak,US,2021-11-22 21:26:18,57.79,-152.4072,20.71,63,90,5.75
137,Esperance,AU,2021-11-22 21:26:18,-33.8667,121.9,58.84,76,89,20.74
138,Petropavlovsk-Kamchatskiy,RU,2021-11-22 21:26:19,53.0452,158.6483,23.59,68,0,8.95
139,Laramie,US,2021-11-22 21:24:48,41.3114,-105.5911,60.35,16,1,8.99
140,Toba,JP,2021-11-22 21:26:19,34.4833,136.85,51.8,64,53,28.57
141,Saint-Philippe,RE,2021-11-22 21:26:20,-21.3585,55.7679,72.99,74,39,7.87
142,Port Macquarie,AU,2021-11-22 21:26:20,-31.4333,152.9167,67.89,94,90,8.05
143,Puerto Ayora,EC,2021-11-22 21:26:21,-0.7393,-90.3518,78.76,68,9,12.39
144,Dali,CN,2021-11-22 21:26:21,25.7,100.1833,45.55,94,14,1.7
145,Kununurra,AU,2021-11-22 21:23:05,-15.7667,128.7333,80.58,94,69,0.0
146,Fortuna,US,2021-11-22 21:26:22,40.5982,-124.1573,70.93,46,1,3.0
147,Berdigestyakh,RU,2021-11-22 21:17:45,62.0989,126.6992,-27.47,99,62,2.46
148,Moron,AR,2021-11-22 21:22:12,-34.6534,-58.6198,91.15,26,27,14.88
149,Ballina,AU,2021-11-22 21:26:22,-28.8667,153.5667,73.36,85,75,3.44
150,Ribeira Grande,PT,2021-11-22 21:26:23,38.5167,-28.7,68.4,77,40,16.11
151,Iqaluit,CA,2021-11-22 21:26:23,63.7506,-68.5145,26.33,80,90,16.11
152,Salalah,OM,2021-11-22 21:26:24,17.0151,54.0924,75.29,50,0,5.75
153,Naze,JP,2021-11-22 21:26:24,28.3667,129.4833,59.34,65,96,18.03
154,Deputatskiy,RU,2021-11-22 21:26:24,69.3,139.9,-21.28,97,64,5.14
155,Vestmannaeyjar,IS,2021-11-22 21:26:25,63.4427,-20.2734,43.5,81,100,20.58
156,Qaanaaq,GL,2021-11-22 21:26:25,77.484,-69.3632,-8.72,74,94,5.23
157,Binalbagan,PH,2021-11-22 21:26:25,10.1948,122.8581,78.51,87,18,5.55
158,Tekeli,KZ,2021-11-22 21:26:26,44.83,78.8239,34.32,73,98,11.45
159,Yumen,CN,2021-11-22 21:26:26,40.2833,97.2,25.68,39,0,24.56
160,Ludvika,SE,2021-11-22 21:26:27,60.1496,15.1878,35.33,63,38,11.45
161,Kruisfontein,ZA,2021-11-22 21:26:27,-34.0033,24.7314,60.89,92,99,10.83
162,Hami,CN,2021-11-22 21:26:28,42.8,93.45,26.53,50,17,0.85
163,Port Hardy,CA,2021-11-22 21:26:28,50.6996,-127.4199,46.58,87,90,6.91
164,Avera,US,2021-11-22 21:26:28,33.194,-82.5271,65.71,53,47,14.14
165,Seoul,KR,2021-11-22 21:23:05,37.5683,126.9778,29.59,55,0,6.91
166,Vanimo,PG,2021-11-22 21:16:40,-2.6741,141.3028,77.52,88,63,4.14
167,Qasigiannguit,GL,2021-11-22 21:26:29,68.8193,-51.1922,19.65,95,97,5.59
168,Sur,OM,2021-11-22 21:26:29,22.5667,59.5289,75.2,50,66,7.11
169,Nouadhibou,MR,2021-11-22 21:26:30,20.931,-17.0347,76.98,65,37,8.05
170,San Patricio,US,2021-11-22 21:26:30,28.017,-97.5169,75.61,34,81,12.26
171,Jishou,CN,2021-11-22 21:26:30,28.3167,109.7167,44.92,59,96,0.51
172,Severo-Kurilsk,RU,2021-11-22 21:26:31,50.6789,156.125,34.38,79,8,4.83
173,Toronto,CA,2021-11-22 21:21:52,43.7001,-79.4163,35.29,62,90,3.0
174,Batagay,RU,2021-11-22 21:26:31,67.6333,134.6333,-26.97,99,57,3.51
175,Bismarck,US,2021-11-22 21:23:06,46.8083,-100.7837,50.2,46,1,0.0
176,Vao,NC,2021-11-22 21:26:32,-22.6667,167.4833,74.17,78,62,6.42
177,Fort Frances,CA,2021-11-22 21:26:32,48.5999,-93.4003,22.15,57,75,4.61
178,Daru,PG,2021-11-22 21:26:33,-9.0763,143.2092,81.27,80,74,3.71
179,Banda Aceh,ID,2021-11-22 21:25:03,5.5577,95.3222,79.65,79,100,5.61
180,Kamaishi,JP,2021-11-22 21:26:34,39.2667,141.8833,43.59,72,63,12.03
181,Matelandia,BR,2021-11-22 21:26:34,-25.2408,-53.9964,89.96,51,3,4.68
182,Ngaoundere,CM,2021-11-22 21:26:34,7.3167,13.5833,71.31,36,27,4.05
183,Kuandian,CN,2021-11-22 21:26:35,40.7286,124.7847,17.35,54,18,9.93
184,Itanhaem,BR,2021-11-22 21:26:35,-24.1831,-46.7889,84.25,82,4,8.3
185,Upernavik,GL,2021-11-22 21:26:36,72.7868,-56.1549,3.22,91,84,6.06
186,Arvin,US,2021-11-22 21:26:36,35.2091,-118.8284,79.7,16,2,1.68
187,Gaoua,BF,2021-11-22 21:26:36,10.2992,-3.2508,80.56,20,0,1.77
188,Saldanha,ZA,2021-11-22 21:26:37,-33.0117,17.9442,60.85,80,16,22.19
189,Pangnirtung,CA,2021-11-22 21:26:37,66.1451,-65.7125,24.8,86,90,13.8
190,Havre-Saint-Pierre,CA,2021-11-22 21:17:07,50.2334,-63.5986,46.99,93,90,18.41
191,Xinqing,CN,2021-11-22 21:15:47,48.2333,129.5,10.56,90,100,9.6
192,Meulaboh,ID,2021-11-22 21:26:38,4.1363,96.1285,75.34,93,99,6.11
193,San Cristobal,VE,2021-11-22 21:26:38,7.7669,-72.225,77.18,75,88,2.28
194,Cherskiy,RU,2021-11-22 21:26:39,68.75,161.3,-32.15,100,15,2.77
195,Manzhouli,CN,2021-11-22 21:26:39,49.6,117.4333,1.9,86,5,11.27
196,Cedar City,US,2021-11-22 21:26:40,37.6775,-113.0619,56.39,22,1,0.0
197,Lavrentiya,RU,2021-11-22 21:26:40,65.5833,-171.0,-2.81,94,8,8.72
198,Lorengau,PG,2021-11-22 21:26:40,-2.0226,147.2712,81.55,80,28,8.08
199,Mitsamiouli,KM,2021-11-22 21:26:41,-11.3847,43.2844,79.68,77,5,8.81
200,Vicuna,CL,2021-11-22 21:26:42,-30.0319,-70.7081,55.13,33,11,8.43
201,Bambous Virieux,MU,2021-11-22 21:26:43,-20.3428,57.7575,73.65,83,40,2.3
202,Sovetskiy,RU,2021-11-22 21:26:43,61.3614,63.5842,13.03,95,100,5.37
203,Hurricane,US,2021-11-22 21:26:43,37.1753,-113.2899,65.59,15,0,2.89
204,Homer,US,2021-11-22 21:26:44,59.6425,-151.5483,17.47,60,1,4.61
205,Iquitos,PE,2021-11-22 21:26:44,-3.7481,-73.2472,86.04,70,40,4.61
206,Norman Wells,CA,2021-11-22 21:26:45,65.282,-126.8329,-18.36,76,75,4.61
207,Margate,GB,2021-11-22 21:26:46,51.3813,1.3862,46.87,81,78,7.0
208,Vardo,NO,2021-11-22 21:26:46,70.3705,31.1107,28.38,54,40,26.46
209,Richards Bay,ZA,2021-11-22 21:18:08,-28.783,32.0377,70.23,87,97,14.79
210,College,US,2021-11-22 21:26:47,64.8569,-147.8028,2.59,61,90,16.11
211,Brasileia,BR,2021-11-22 21:26:47,-11.0161,-68.7481,88.25,74,75,4.61
212,Tautira,PF,2021-11-22 21:26:48,-17.7333,-149.15,86.02,81,14,14.18
213,Mar Del Plata,AR,2021-11-22 21:26:48,-38.0023,-57.5575,66.09,67,0,5.99
214,Kangaatsiaq,GL,2021-11-22 21:26:48,68.3065,-53.4641,24.12,63,100,8.46
215,Korla,CN,2021-11-22 21:26:49,41.7597,86.1469,26.35,64,50,3.2
216,Guerrero Negro,MX,2021-11-22 21:23:40,27.9769,-114.0611,80.73,25,100,2.06
217,Galle,LK,2021-11-22 21:26:49,6.0367,80.217,76.71,86,83,4.0
218,Hasaki,JP,2021-11-22 21:26:50,35.7333,140.8333,52.29,67,100,9.86
219,Rodionovo-Nesvetayskaya,RU,2021-11-22 21:26:50,47.6103,39.7121,50.56,90,100,4.81
220,Iskateley,RU,2021-11-22 21:26:50,67.6803,53.1512,5.2,99,92,6.6
221,Mabai,CN,2021-11-22 21:26:51,23.0128,104.4508,44.91,84,100,1.97
222,Pevek,RU,2021-11-22 21:26:51,69.7008,170.3133,-20.06,98,16,3.22
223,Kortkeros,RU,2021-11-22 21:26:52,61.8106,51.5806,15.8,96,100,5.64
224,Khatanga,RU,2021-11-22 21:26:52,71.9667,102.5,-5.33,75,31,21.09
225,Puri,IN,2021-11-22 21:23:56,19.8,85.85,77.52,79,51,3.62
226,Touros,BR,2021-11-22 21:26:52,-5.1989,-35.4608,81.5,76,75,14.99
227,Washington,US,2021-11-22 21:22:45,47.5001,-120.5015,49.24,53,98,3.94
228,Watertown,US,2021-11-22 21:26:53,42.3709,-71.1828,52.16,66,1,5.01
229,San Quintin,MX,2021-11-22 21:26:53,30.4833,-115.95,71.94,45,100,9.08
230,Amahai,ID,2021-11-22 21:26:54,-3.3333,128.9167,77.5,84,100,2.17
231,Moose Jaw,CA,2021-11-22 21:22:16,50.4001,-105.5344,39.47,65,90,9.22
232,Igarka,RU,2021-11-22 21:26:54,67.4667,86.5833,6.8,79,100,22.64
233,Yeppoon,AU,2021-11-22 21:26:55,-23.1333,150.7333,67.78,80,83,4.0
234,Srednekolymsk,RU,2021-11-22 21:26:55,67.45,153.6833,-30.28,100,97,4.34
235,Constitucion,CL,2021-11-22 21:26:56,-35.3333,-72.4167,69.69,56,14,18.03
236,Grenfell,AU,2021-11-22 21:26:56,-33.9,148.1667,59.7,74,49,11.14
237,Felanitx,ES,2021-11-22 21:26:56,39.4696,3.1483,56.95,81,95,7.4
238,Arraial Do Cabo,BR,2021-11-22 21:26:57,-22.9661,-42.0278,73.26,60,0,13.8
239,Praia,CV,2021-11-22 21:26:57,14.9215,-23.5087,79.34,69,20,14.97
240,Kannangad,IN,2021-11-22 21:26:58,12.3081,75.1063,76.35,91,46,5.68
241,Granja,BR,2021-11-22 21:26:58,-3.1203,-40.8261,83.98,63,98,8.97
242,Lakes Entrance,AU,2021-11-22 21:26:58,-37.8811,147.981,65.16,71,100,5.06
243,Flin Flon,CA,2021-11-22 21:26:59,54.7682,-101.865,8.44,78,90,6.91
244,Bakel,SN,2021-11-22 21:26:59,14.905,-12.4568,87.8,15,69,7.49
245,Puro,PH,2021-11-22 21:26:59,12.4841,123.3827,79.54,88,50,7.72
246,La Guaira,VE,2021-11-22 21:27:00,10.599,-66.9346,84.18,74,20,5.75
247,Gafanha Da Encarnacao,PT,2021-11-22 21:27:00,40.6181,-8.733,50.77,76,1,12.82
248,Tekirdag,TR,2021-11-22 21:27:01,40.978,27.5085,54.75,73,100,5.88
249,Arman,RU,2021-11-22 21:27:01,59.7,150.1667,1.6,82,10,10.8
250,Okhotsk,RU,2021-11-22 21:27:01,59.3833,143.3,-0.81,92,22,11.72
251,Tigre,AR,2021-11-22 21:27:02,-34.426,-58.5796,91.4,32,20,18.41
252,Novyy Urengoy,RU,2021-11-22 21:25:25,66.0833,76.6333,15.42,95,100,12.35
253,Aklavik,CA,2021-11-22 21:17:48,68.2191,-135.0107,-12.17,76,75,3.44
254,North Bend,US,2021-11-22 21:27:02,43.4065,-124.2243,55.31,83,1,4.61
255,Tuy Hoa,VN,2021-11-22 21:24:19,13.0833,109.3,74.89,89,89,10.13
256,Tongchuan,CN,2021-11-22 21:27:03,35.0806,109.0897,33.19,33,0,2.8
257,Crossville,US,2021-11-22 21:27:03,35.949,-85.0269,44.24,47,1,5.01
258,Karasjok,NO,2021-11-22 21:27:04,69.4719,25.5112,6.91,99,100,1.86
259,Matay,EG,2021-11-22 21:18:29,28.419,30.7792,63.45,59,0,1.79
260,Boulder,US,2021-11-22 21:25:55,40.0833,-105.3505,66.27,19,1,3.0
261,Tairua,NZ,2021-11-22 21:27:04,-37.0167,175.85,63.09,73,49,4.68
262,Udachnyy,RU,2021-11-22 21:27:05,66.4167,112.4,-35.28,100,75,5.28
263,Mayumba,GA,2021-11-22 21:27:05,-3.432,10.6554,77.59,91,100,4.83
264,Barra Do Garcas,BR,2021-11-22 21:27:06,-15.89,-52.2567,82.54,78,100,0.49
265,Soria,ES,2021-11-22 21:27:06,41.6667,-2.6667,33.85,95,100,14.09
266,Agirish,RU,2021-11-22 21:27:06,61.9247,63.0231,10.24,95,100,5.5
267,Bonfim,BR,2021-11-22 21:27:07,3.0833,-59.95,83.48,70,98,7.43
268,Pimentel,PE,2021-11-22 21:27:07,-6.8367,-79.9342,71.89,64,0,17.27
269,Nieuw Amsterdam,SR,2021-11-22 21:27:07,5.8833,-55.0833,81.14,83,20,4.61
270,San Carlos,VE,2021-11-22 21:27:08,9.6612,-68.5827,84.24,65,82,1.32
271,Ibra,OM,2021-11-22 21:27:08,22.6906,58.5334,68.02,21,81,3.76
272,Kandalaksha,RU,2021-11-22 21:27:09,67.162,32.4123,10.99,96,75,3.98
273,Gongzhuling,CN,2021-11-22 21:25:03,43.5008,124.8198,9.25,87,24,13.89
274,Oistins,BB,2021-11-22 21:27:09,13.0667,-59.5333,82.49,69,40,14.97
275,Gunnedah,AU,2021-11-22 21:27:09,-30.9833,150.25,71.22,77,73,4.0
276,Ananas,HT,2021-11-22 21:27:10,19.2466,-71.9557,83.03,53,62,6.42
277,Sertania,BR,2021-11-22 21:27:10,-8.0736,-37.2644,90.01,25,100,7.81
278,Erechim,BR,2021-11-22 21:26:17,-27.6342,-52.2739,86.04,58,1,1.68
279,Mombetsu,JP,2021-11-22 21:27:11,44.3525,143.3525,44.85,70,80,24.29
280,Trairi,BR,2021-11-22 21:23:15,-3.2778,-39.2689,81.0,78,90,12.33
281,Tromso,NO,2021-11-22 21:27:11,69.6496,18.957,30.22,64,75,3.0
282,Yarada,IN,2021-11-22 21:27:12,17.65,83.2667,78.4,86,30,1.07
283,Tulun,RU,2021-11-22 21:27:12,54.5611,100.5792,13.41,94,100,5.03
284,Coquimbo,CL,2021-11-22 21:23:16,-29.9533,-71.3436,62.33,77,75,12.66
285,Upata,VE,2021-11-22 21:27:13,8.0086,-62.3989,76.39,88,73,3.27
286,Agdas,AZ,2021-11-22 21:27:13,40.65,47.4761,48.97,65,0,3.24
287,Shibetsu,JP,2021-11-22 21:27:13,43.659,145.132,41.88,82,100,13.65
288,Durban,ZA,2021-11-22 21:25:21,-29.8579,31.0292,70.92,95,100,7.0
289,Montorio Al Vomano,IT,2021-11-22 21:27:14,42.5831,13.6383,54.1,89,100,1.74
290,Muroto,JP,2021-11-22 21:27:14,33.2833,134.15,42.84,62,38,17.92
291,Zemio,CF,2021-11-22 21:27:15,5.0314,25.1361,71.83,57,75,1.23
292,Areia Branca,BR,2021-11-22 21:27:15,-4.9561,-37.1369,84.4,81,94,21.7
293,Peace River,CA,2021-11-22 21:27:09,56.2501,-117.286,23.31,93,75,4.61
294,Broken Hill,AU,2021-11-22 21:27:15,-31.95,141.4333,69.51,64,100,13.8
295,Coihaique,CL,2021-11-22 21:27:16,-45.5752,-72.0662,62.55,39,40,6.91
